#period	period time	calc time
1	2235	754
2	2005	1249
3	1996	1251
4	1998	1253
5	2252	998
6	1745	1000
7	2005	1001
8	1994	1251
9	2000	1249
10	1995	758
11	1998	1250
12	2004	1254
13	1994	1252
14	1998	1252
15	2003	747
16	1994	749
17	1997	753
18	2001	1248
19	1994	751
20	2006	745
21	1991	751
22	1999	1261
23	2001	1000
24	1998	750
25	1998	751
26	1998	750
27	1999	755
28	2005	1246
29	1992	752
30	1998	755
31	1997	754
32	1999	757
33	1999	751
34	1999	750
35	2253	996
36	1750	745
37	1991	758
38	2004	748
39	1993	752
40	2248	1254
41	1749	748
42	1999	751
43	2255	1245
44	1742	750
45	2000	1005
46	1997	746
47	1997	773
48	2000	748
49	1997	752
50	2000	1009
51	1998	753
52	1998	756
53	2003	747
54	1996	752
55	1996	1002
56	1999	751
57	2249	1254
58	2005	1247
59	1992	1251
60	1748	1258
61	2248	1250
62	1998	1256
63	2000	1249
64	1996	1250
65	1747	1011
66	2001	750
67	1996	753
68	2259	1243
69	1991	1250
70	1748	1251
71	2248	1251
72	2000	1244
73	2002	1248
74	1993	1251
75	1748	1251
76	1999	752
77	2240	1251
78	1746	750
79	2248	1248
80	1747	1258
81	2264	1248
82	1995	1252
83	1998	1253
84	1998	1253
85	1758	1245
86	2238	1260
87	1998	1274
88	1999	1248
89	2005	1249
90	1740	1254
91	2250	1251
92	1998	1251
93	2000	1255
94	1995	1255
95	1753	1247
96	2244	1252
97	1992	1265
98	2004	1252
99	2001	1250
100	1749	1249
101	2251	1249
102	1993	1251
103	1999	1252
104	1996	1256
105	1749	1254
106	2246	1256
107	1998	1255
108	2004	1249
109	1998	1251
110	1745	1003
111	1998	1002
112	2252	1256
113	1990	1246
114	1994	1251
115	1748	1000
116	2248	1257
117	2007	1251
118	1993	1253
119	2011	1247
120	1743	1006
121	2001	1003
122	2255	1245
123	1994	1249
124	2000	1247
125	1744	1001
126	1999	1004
127	2253	1246
128	1741	1003
129	2246	1245
130	1994	1251
131	1998	1250
132	1998	1261
133	2011	1255
134	1996	1251
135	1749	1000
136	2248	1250
137	2003	1246
138	1992	1260
139	2000	1253
140	1748	1001
141	2004	994
142	2243	751
143	1998	1250
144	2000	1249
145	1739	1008
146	2262	1245
147	1742	1001
148	2248	757
149	2004	1246
150	1743	1001
151	2248	1251
152	1998	1249
153	1999	1259
154	1749	1001
155	2497	1257
156	1500	1001
157	2250	1269
158	1995	1259
159	1998	1259
160	1752	1004
161	2253	745
162	1992	1251
163	2002	1247
164	1994	1252
165	1749	1002
166	2249	1252
167	1997	1251
168	2006	1247
169	1738	1006
170	2257	1251
171	1746	999
172	2246	1251
173	1999	1262
174	1998	1264
175	1746	1013
176	2251	1002
177	1998	1251
178	1999	1248
179	1997	1252
180	1747	1004
181	2260	1243
182	1742	998
183	2252	1245
184	1992	1509
185	1739	1017
186	2258	1252
187	1999	1251
188	1998	1250
189	2004	1245
190	1749	997
191	2493	1251
192	1498	1006
193	2501	1251
194	1496	1001
195	2248	1250
196	1999	1250
197	2002	1248
198	1996	1252
199	1998	1250
200	1997	1251
201	2003	1246
202	1994	1259
203	1999	1250
204	1998	1251
205	2003	1246
206	1993	1251
207	2000	1249
208	1996	1001
209	2007	1500
210	1992	749
211	1997	1002
212	2002	1245
213	1998	1246
214	1993	1251
215	1998	751
216	2000	1250
217	2002	1246
218	1993	1014
219	1998	1251
220	1998	1253
221	2006	1244
222	1989	1002
223	1998	1002
224	1995	1254
225	2008	1246
226	1992	1002
227	1998	752
228	1999	751
229	2002	1000
230	1994	752
231	1999	752
232	2000	999
233	2000	998
234	2003	746
235	1992	750
236	1997	751
237	2003	997
238	1994	752
239	1999	752
240	1998	752
241	2000	755
242	1995	756
243	2249	1255
244	1761	744
245	1992	747
246	1992	753
247	2249	1253
248	1749	770
249	2003	750
